product id,product_Name,types_of_product, product_Brand,unit_price,quantity,price,tax,total_price,order _date,delivery_date,product_availability,product_target_availability
Au227,Walker,Snacks,Pepsi,20,8 kg,810,165,975,17-01-2021,25-09-2021,32 kg,46 kg
Au228,Walker,Snacks,Pepsi,37,12 kg,780,155,935,04-01-2021,03-08-2021,31 kg,57 kg
Au229,Gamesa,Snacks,Pepsi,34,8 kg,552,231,783,23-02-2021,24-11-2021,24 kg,50 kg
Au230,Walker,Snacks,Pepsi,37,5 kg,960,213,1173,29-03-2021,02-09-2021,21 kg,51 kg
Au231,Quaker Oats,Snacks,Pepsi,46,9 kg,640,253,893,17-05-2021,12-09-2021,25 kg,41 kg
Au232,Gamesa,Snacks,Pepsi,22,15 kg,715,269,984,19-05-2021,29-06-2021,30 kg,40 kg
Au233,Quaker Oats,Snacks,Pepsi,13,11 kg,597,383,980,09-05-2021,04-06-2021,20 kg,48 kg
Au234,Gamesa,Snacks,Pepsi,19,13 kg,966,208,1174,28-03-2021,22-09-2021,33 kg,60 kg
Au235,Gamesa,Snacks,Pepsi,26,8 kg,733,187,920,30-01-2021,01-11-2021,21 kg,58 kg
Au236,Walker,Snacks,Pepsi,20,7 kg,804,250,1054,25-02-2021,17-09-2021,26 kg,51 kg
Au237,Quaker Oats,Snacks,Pepsi,22,13 kg,633,393,1026,22-01-2021,06-07-2021,24 kg,46 kg
Au238,Quaker Oats,Snacks,Pepsi,32,5 kg,889,339,1228,23-04-2021,28-09-2021,24 kg,57 kg
Au239,Gamesa,Snacks,Pepsi,16,15 kg,897,340,1237,01-02-2021,19-07-2021,34 kg,52 kg
Au240,Gamesa,Snacks,Pepsi,42,6 kg,829,221,1050,03-03-2021,17-11-2021,35 kg,47 kg
Au241,Quaker Oats,Snacks,Pepsi,26,7 kg,714,365,1079,20-02-2021,08-07-2021,22 kg,43 kg
Au242,Gamesa,Snacks,Pepsi,28,11 kg,934,142,1076,20-01-2021,23-09-2021,24 kg,60 kg
Au243,Quaker Oats,Snacks,Pepsi,31,13 kg,857,268,1125,09-01-2021,16-09-2021,35 kg,60 kg
Au244,Gamesa,Snacks,Pepsi,14,12 kg,576,204,780,26-03-2021,03-07-2021,29 kg,58 kg
Au245,Walker,Snacks,Pepsi,45,14 kg,731,263,994,02-04-2021,07-11-2021,23 kg,49 kg
Au246,Gamesa,Snacks,Pepsi,12,14 kg,735,338,1073,06-03-2021,18-07-2021,25 kg,44 kg
Au247,Walker,Snacks,Pepsi,14,8 kg,528,229,757,13-03-2021,21-06-2021,29 kg,46 kg
Au248,Gamesa,Snacks,Pepsi,39,15 kg,667,107,774,23-01-2021,31-08-2021,30 kg,48 kg
Au249,Gamesa,Snacks,Pepsi,13,7 kg,939,194,1133,05-01-2021,29-08-2021,24 kg,57 kg
Au250,Gamesa,Snacks,Pepsi,13,8 kg,778,345,1123,21-04-2021,03-09-2021,31 kg,57 kg
Au251,Gamesa,Snacks,Pepsi,46,12 kg,816,385,1201,05-02-2021,09-06-2021,32 kg,42 kg
Au252,Gamesa,Snacks,Pepsi,10,8 kg,505,390,895,08-02-2021,18-06-2021,29 kg,49 kg
Au253,Quaker Oats,Snacks,Pepsi,37,15 kg,574,166,740,07-04-2021,18-07-2021,35 kg,51 kg
Au254,Quaker Oats,Snacks,Pepsi,32,8 kg,883,230,1113,09-01-2021,15-10-2021,29 kg,52 kg
Au255,Quaker Oats,Snacks,Pepsi,11,15 kg,988,242,1230,23-05-2021,22-09-2021,40 kg,50 kg
Au256,Mango Panna,Health Supplement,Patanjali,22,12 litres,696,302,998,12-01-2021,17-09-2021,53 litres,83 litres
Au257,Aloe Vera Juice,Health Supplement,Patanjali,24,6 litres,811,376,1187,15-03-2021,13-10-2021,63 litres,74 litres
Au258,Gilloy Juice,Health Supplement,Patanjali,11,12 litres,971,198,1169,12-01-2021,18-09-2021,31 litres,72 litres
Au259,Amla Juice,Health Supplement,Patanjali,40,11 litres,935,315,1250,20-01-2021,01-10-2021,70 litres,83 litres
Au260,Aloe Vera Juice,Health Supplement,Patanjali,15,10 litres,776,228,1004,31-03-2021,20-10-2021,68 litres,87 litres
Au261,Tulsi Juice,Health Supplement,Patanjali,48,8 litres,729,400,1129,03-02-2021,11-10-2021,53 litres,77 litres
Au262,Gilloy Juice,Health Supplement,Patanjali,28,7 litres,639,347,986,06-05-2021,25-08-2021,53 litres,80 litres
Au263,Gilloy Juice,Health Supplement,Patanjali,43,12 litres,599,294,893,22-01-2021,04-06-2021,66 litres,98 litres
Au264,Aloe Vera Juice,Health Supplement,Patanjali,36,7 litres,853,331,1184,16-01-2021,14-09-2021,35 litres,81 litres
Au265,Gilloy Juice,Health Supplement,Patanjali,24,6 litres,833,248,1081,21-02-2021,21-07-2021,40 litres,89 litres
Au266,Amla Juice,Health Supplement,Patanjali,12,13 litres,521,178,699,28-04-2021,01-06-2021,33 litres,95 litres
Au267,Aloe Vera Juice,Health Supplement,Patanjali,50,13 litres,802,202,1004,08-04-2021,25-09-2021,43 litres,79 litres
Au268,Tulsi Juice,Health Supplement,Patanjali,28,10 litres,857,243,1100,12-02-2021,30-09-2021,52 litres,87 litres
Au269,Mango Panna,Health Supplement,Patanjali,49,8 litres,760,137,897,24-02-2021,30-10-2021,50 litres,84 litres
Au270,Gilloy Juice,Health Supplement,Patanjali,17,10 litres,559,369,928,17-02-2021,10-09-2021,44 litres,84 litres
Au271,Amla Juice,Health Supplement,Patanjali,42,14 litres,908,293,1201,19-03-2021,01-09-2021,65 litres,92 litres
Au272,Aloe Vera Juice,Health Supplement,Patanjali,49,6 litres,676,116,792,30-03-2021,04-10-2021,40 litres,71 litres
Au273,Amla Juice,Health Supplement,Patanjali,19,6 litres,904,282,1186,02-05-2021,08-09-2021,57 litres,90 litres
Au274,Amla Juice,Health Supplement,Patanjali,41,14 litres,524,375,899,05-05-2021,14-06-2021,40 litres,81 litres
Au275,Tulsi Juice,Health Supplement,Patanjali,20,13 litres,930,314,1244,15-01-2021,25-09-2021,46 litres,97 litres
Au276,Amla Juice,Health Supplement,Patanjali,25,11 litres,644,132,776,08-02-2021,19-06-2021,50 litres,78 litres
Au277,Tulsi Juice,Health Supplement,Patanjali,11,12 litres,924,396,1320,16-01-2021,13-06-2021,65 litres,82 litres
Au278,Tulsi Juice,Health Supplement,Patanjali,47,11 litres,521,121,642,19-04-2021,25-08-2021,45 litres,94 litres
Au279,Aloe Vera Juice,Health Supplement,Patanjali,17,13 litres,850,219,1069,06-05-2021,09-11-2021,63 litres,97 litres
Au280,Tulsi Juice,Health Supplement,Patanjali,19,8 litres,957,267,1224,24-05-2021,02-06-2021,56 litres,82 litres
Au281,Aloe Vera Juice,Health Supplement,Patanjali,34,14 litres,622,249,871,30-03-2021,05-09-2021,34 litres,82 litres
Au282,Mango Panna,Health Supplement,Patanjali,26,11 litres,751,174,925,24-05-2021,07-10-2021,50 litres,93 litres
Au283,Mango Panna,Health Supplement,Patanjali,28,15 litres,956,277,1233,11-02-2021,30-10-2021,66 litres,88 litres
Au284,Aloe Vera Juice,Health Supplement,Patanjali,22,5 litres,747,168,915,04-03-2021,20-11-2021,70 litres,82 litres
Au285,Gilloy Juice,Health Supplement,Patanjali,42,9 litres,599,376,975,28-02-2021,06-11-2021,30 litres,71 litres
Au286,Aloe Vera Juice,Health Supplement,Patanjali,47,5 litres,846,146,992,02-04-2021,18-08-2021,62 litres,70 litres
Au287,Mango Panna,Health Supplement,Patanjali,37,15 litres,758,367,1125,25-05-2021,05-07-2021,33 litres,94 litres
Au288,Aloe Vera Juice,Health Supplement,Patanjali,11,7 litres,660,275,935,22-05-2021,06-10-2021,40 litres,86 litres
Au289,Gilloy Juice,Health Supplement,Patanjali,10,10 litres,707,229,936,04-05-2021,01-08-2021,44 litres,78 litres
Au290,Amla Juice,Health Supplement,Patanjali,34,10 litres,623,240,863,18-02-2021,01-12-2021,36 litres,92 litres
Au291,Aloe Vera Juice,Health Supplement,Patanjali,15,11 litres,744,249,993,15-04-2021,05-11-2021,59 litres,91 litres
Au292,Gilloy Juice,Health Supplement,Patanjali,41,15 litres,823,394,1217,28-05-2021,05-08-2021,60 litres,84 litres
Au293,Aloe Vera Juice,Health Supplement,Patanjali,10,11 litres,752,224,976,16-05-2021,27-09-2021,57 litres,79 litres
Au294,Kinley,Beverage,Coca Cola,48,10 litres,890,144,1034,16-02-2021,28-11-2021,80 litres,150 litres
Au295,Women's Horlicks,Health Supplement,HUL,45,14 kg,915,399,1314,02-04-2021,27-09-2021,14 kg,50 kg
Au296,Lite Horlicks,Health Supplement,HUL,12,9 kg,718,300,1018,17-02-2021,09-11-2021,17 kg,52 kg
Au297,Lite Horlicks,Health Supplement,HUL,27,9 kg,670,261,931,03-04-2021,26-11-2021,17 kg,55 kg
Au298,Women's Horlicks,Health Supplement,HUL,28,9 kg,757,227,984,07-05-2021,28-07-2021,27 kg,53 kg
Au299,Women's Horlicks,Health Supplement,HUL,36,8 kg,887,203,1090,06-01-2021,26-10-2021,21 kg,51 kg
Au300,Lite Horlicks,Health Supplement,HUL,30,15 kg,635,141,776,26-05-2021,10-10-2021,18 kg,53 kg
Au301,Women's Horlicks,Health Supplement,HUL,46,9 kg,571,104,675,18-03-2021,19-07-2021,14 kg,54 kg
Au302,Women's Horlicks,Health Supplement,HUL,23,7 kg,737,175,912,07-01-2021,14-10-2021,20 kg,53 kg
Au303,Lite Horlicks,Health Supplement,HUL,31,12 kg,692,255,947,27-05-2021,22-08-2021,26 kg,52 kg
Au304,Women's Horlicks,Health Supplement,HUL,26,8 kg,610,263,873,25-04-2021,11-09-2021,28 kg,53 kg
Au305,Horlicks,Health Supplement,HUL,10,5 kg,883,231,1114,27-02-2021,19-11-2021,30 kg,51 kg
Au306,Lite Horlicks,Health Supplement,HUL,13,12 kg,688,238,926,15-01-2021,03-09-2021,29 kg,51 kg
Au307,Horlicks,Health Supplement,HUL,35,7 kg,752,102,854,21-02-2021,22-08-2021,23 kg,54 kg
Au308,Honest Tea,Beverage,Coca Cola,48,12 litres,734,317,1051,29-03-2021,22-07-2021,25 litres,40 litres
Au309,Aloo Bhujia,Snacks,Haldiram,18,13 kg,682,216,898,24-05-2021,09-11-2021,16 kg,37 kg
Au310,Tasty Nuts,Snacks,Haldiram,41,13 kg,986,307,1293,30-05-2021,23-11-2021,14 kg,38 kg
Au311,Bhel Puri,Snacks,Haldiram,46,5 kg,526,383,909,20-04-2021,23-10-2021,16 kg,42 kg
Au312,Aloo Bhujia,Snacks,Haldiram,34,10 kg,639,158,797,06-01-2021,27-09-2021,22 kg,43 kg
Au313,Bhujia Sev,Snacks,Haldiram,29,13 kg,683,176,859,24-05-2021,24-06-2021,26 kg,39 kg
Au314,Tasty Nuts,Snacks,Haldiram,21,7 kg,574,292,866,17-02-2021,03-08-2021,17 kg,41 kg
Au315,Bhel Puri,Snacks,Haldiram,11,10 kg,947,261,1208,05-02-2021,04-09-2021,11 kg,35 kg
Au316,Aloo Bhujia,Snacks,Haldiram,26,7 kg,696,245,941,21-02-2021,10-11-2021,14 kg,43 kg
Au317,Bhel Puri,Snacks,Haldiram,25,7 kg,747,236,983,15-02-2021,08-11-2021,15 kg,41 kg
Au318,Bhel Puri,Snacks,Haldiram,16,13 kg,680,372,1052,03-02-2021,07-07-2021,16 kg,38 kg
Au319,Bhel Puri,Snacks,Haldiram,25,10 kg,641,113,754,23-04-2021,31-08-2021,26 kg,37 kg
Au320,Bhujia Sev,Snacks,Haldiram,29,7 kg,882,387,1269,13-04-2021,22-10-2021,20 kg,40 kg
Au321,Bhel Puri,Snacks,Haldiram,17,6 kg,735,400,1135,13-04-2021,14-09-2021,17 kg,42 kg
Au322,Tasty Nuts,Snacks,Haldiram,11,8 kg,937,117,1054,30-01-2021,10-06-2021,13 kg,41 kg
Au323,Aloo Bhujia,Snacks,Haldiram,14,5 kg,632,192,824,17-01-2021,02-09-2021,29 kg,33 kg
Au324,Bhel Puri,Snacks,Haldiram,34,8 kg,619,377,996,10-04-2021,28-06-2021,25 kg,38 kg
Au325,Aloo Bhujia,Snacks,Haldiram,39,9 kg,642,188,830,20-05-2021,16-09-2021,21 kg,33 kg
Au326,Tasty Nuts,Snacks,Haldiram,10,8 kg,689,300,989,19-02-2021,30-07-2021,20 kg,36 kg
Au327,Aloo Bhujia,Snacks,Haldiram,32,5 kg,752,121,873,19-03-2021,21-09-2021,10 kg,44 kg
Au328,Tasty Nuts,Snacks,Haldiram,35,14 kg,841,326,1167,24-05-2021,25-09-2021,20 kg,35 kg
Au329,Bhujia Sev,Snacks,Haldiram,43,9 kg,569,304,873,31-03-2021,01-10-2021,22 kg,44 kg
Au330,Tasty Nuts,Snacks,Haldiram,19,10 kg,703,339,1042,21-05-2021,16-06-2021,27 kg,39 kg
Au331,Aloo Bhujia,Snacks,Haldiram,31,11 kg,861,207,1068,02-01-2021,10-07-2021,29 kg,41 kg
Au332,Bhujia Sev,Snacks,Haldiram,41,10 kg,977,183,1160,08-02-2021,22-11-2021,20 kg,37 kg
Au333,Aloo Bhujia,Snacks,Haldiram,26,8 kg,972,117,1089,02-01-2021,23-06-2021,17 kg,44 kg
Au334,Bhel Puri,Snacks,Haldiram,49,6 kg,901,328,1229,19-02-2021,26-07-2021,11 kg,32 kg
Au335,Women's Horlicks,Health Supplement,HUL,25,11 kg,667,370,1037,24-02-2021,08-10-2021,30 kg,34 kg
Au336,Women's Horlicks,Health Supplement,HUL,42,12 kg,971,353,1324,31-01-2021,19-07-2021,15 kg,34 kg
Au337,Horlicks,Health Supplement,HUL,20,10 kg,560,177,737,11-03-2021,05-11-2021,25 kg,36 kg
Au338,Lite Horlicks,Health Supplement,HUL,44,5 kg,589,351,940,30-05-2021,01-08-2021,10 kg,37 kg
Au339,Mother's Horlicks,Health Supplement,HUL,49,15 kg,880,293,1173,12-05-2021,27-06-2021,22 kg,40 kg
Au340,Women's Horlicks,Health Supplement,HUL,48,7 kg,808,112,920,04-01-2021,20-08-2021,10 kg,31 kg
Au341,Women's Horlicks,Health Supplement,HUL,47,5 kg,528,293,821,13-04-2021,04-08-2021,12 kg,36 kg
Au342,Lite Horlicks,Health Supplement,HUL,43,5 kg,873,346,1219,05-02-2021,24-10-2021,25 kg,34 kg
Au343,Mother's Horlicks,Health Supplement,HUL,41,12 kg,658,376,1034,29-03-2021,22-11-2021,26 kg,38 kg
Au344,Lite Horlicks,Health Supplement,HUL,27,8 kg,525,161,686,06-05-2021,07-07-2021,29 kg,36 kg
Au345,Lite Horlicks,Health Supplement,HUL,39,12 kg,976,298,1274,25-03-2021,15-10-2021,22 kg,38 kg
Au346,Women's Horlicks,Health Supplement,HUL,41,8 kg,510,181,691,17-03-2021,07-08-2021,25 kg,38 kg
Au347,Mother's Horlicks,Health Supplement,HUL,47,6 kg,757,122,879,03-04-2021,13-08-2021,25 kg,34 kg
Au348,Horlicks,Health Supplement,HUL,34,15 kg,853,335,1188,26-02-2021,26-10-2021,21 kg,37 kg
Au349,Mother's Horlicks,Health Supplement,HUL,42,8 kg,520,280,800,16-03-2021,12-11-2021,21 kg,41 kg
Au350,Women's Horlicks,Health Supplement,HUL,48,15 kg,540,217,757,31-01-2021,06-11-2021,23 kg,41 kg
Au351,Tropicana,Beverage,Pepsi,28,6 litres,983,219,1202,13-05-2021,24-07-2021,20 litres,30 litres
Au352,Kurkure,Snacks,Pepsi,48,8 kg,564,298,862,12-04-2021,06-09-2021,16 kg,44 kg
Au353,Kurkure,Snacks,Pepsi,48,10 kg,735,195,930,23-03-2021,13-09-2021,22 kg,45 kg
Au354,Kurkure,Snacks,Pepsi,30,12 kg,590,182,772,27-01-2021,05-06-2021,10 kg,41 kg
Au355,Kurkure-TA,Snacks,Pepsi,38,5 kg,824,206,1030,10-03-2021,20-08-2021,27 kg,45 kg
Au356,Kurkure-TA,Snacks,Pepsi,29,7 kg,651,114,765,25-02-2021,25-08-2021,32 kg,44 kg
Au357,Kurkure-Puff,Snacks,Pepsi,32,13 kg,619,314,933,08-05-2021,30-06-2021,23 kg,43 kg
Au358,Kurkure-Puff,Snacks,Pepsi,26,11 kg,906,200,1106,11-03-2021,06-06-2021,16 kg,40 kg
Au359,Kurkure-Puff,Snacks,Pepsi,27,15 kg,659,334,993,28-05-2021,10-10-2021,20 kg,43 kg
Au360,Kurkure-Puff,Snacks,Pepsi,30,9 kg,955,277,1232,05-03-2021,22-09-2021,16 kg,44 kg
Au361,Kurkure,Snacks,Pepsi,10,12 kg,889,161,1050,18-04-2021,19-10-2021,14 kg,45 kg
Au362,Kurkure-TA,Snacks,Pepsi,40,14 kg,821,333,1154,17-02-2021,23-06-2021,34 kg,44 kg
Au363,Kurkure-TA,Snacks,Pepsi,49,5 kg,698,247,945,21-04-2021,04-11-2021,17 kg,42 kg
Au364,Kurkure-TA,Snacks,Pepsi,26,16 kg,770,262,1032,30-03-2021,29-07-2021,15 kg,40 kg
Au365,Kurkure-TA,Snacks,Pepsi,49,12 kg,856,126,982,05-02-2021,20-06-2021,24 kg,42 kg
Au366,Kurkure-Puff,Snacks,Pepsi,48,13 kg,808,278,1086,14-03-2021,16-06-2021,16 kg,41 kg
Au367,Kurkure,Snacks,Pepsi,49,10 kg,605,168,773,21-01-2021,30-11-2021,13 kg,40 kg
Au368,Kurkure-TA,Snacks,Pepsi,10,6 kg,635,279,914,21-04-2021,19-08-2021,30 kg,45 kg
Au369,Kurkure-Puff,Snacks,Pepsi,50,12 kg,996,248,1244,25-01-2021,17-09-2021,12 kg,42 kg
Au370,Kurkure-TA,Snacks,Pepsi,13,9 kg,938,258,1196,03-05-2021,28-09-2021,21 kg,40 kg
Au371,Kurkure-Puff,Snacks,Pepsi,26,8 kg,739,284,1023,03-03-2021,29-08-2021,29 kg,40 kg
Au372,Kurkure-Puff,Snacks,Pepsi,27,5 kg,843,361,1204,26-01-2021,15-08-2021,11 kg,42 kg
Au373,Kurkure-Puff,Snacks,Pepsi,36,17 kg,773,219,992,08-05-2021,26-06-2021,23 kg,44 kg
Au374,Kurkure-TA,Snacks,Pepsi,18,11 kg,882,260,1142,03-02-2021,30-09-2021,30 kg,40 kg
Au375,Kurkure,Snacks,Pepsi,24,13 kg,540,270,810,02-03-2021,22-08-2021,10 kg,45 kg
Au376,Kurkure-TA,Snacks,Pepsi,26,16 kg,926,327,1253,27-05-2021,23-09-2021,30 kg,42 kg
Au377,Kurkure-TA,Snacks,Pepsi,44,7 kg,943,133,1076,26-05-2021,12-08-2021,25 kg,40 kg
Au378,Kurkure-TA,Snacks,Pepsi,38,12 kg,959,216,1175,16-01-2021,07-06-2021,10 kg,42 kg
Au379,Kurkure-TA,Snacks,Pepsi,24,6 kg,557,195,752,09-03-2021,04-11-2021,34 kg,45 kg
Au380,Kurkure-Puff,Snacks,Pepsi,24,5 kg,858,261,1119,13-05-2021,06-07-2021,20 Kg,50 kg
Au381,Groundnut Oil,Grocery,Freedom,32,6 litres,507,319,826,23-03-2021,08-09-2021,27 litres,75 litres
Au382,Sunflower Oil,Grocery,Freedom,38,16 litres,891,224,1115,20-03-2021,03-08-2021,18 litres,40 litres
Au383,Groundnut Oil,Grocery,Freedom,23,7 litres,788,253,1041,08-01-2021,30-07-2021,14 litres,56 litres
Au384,Sunflower Oil,Grocery,Freedom,15,10 litres,639,166,805,23-02-2021,23-11-2021,30 litres,50 litres
Au385,Groundnut Oil,Grocery,Freedom,22,7 litres,838,286,1124,15-01-2021,17-10-2021,26 litres,45 litres
Au386,Groundnut Oil,Grocery,Freedom,21,7 litres,752,349,1101,07-05-2021,23-11-2021,20 litres,46 litres
Au387,Sunflower Oil,Grocery,Freedom,23,7 litres,919,378,1297,06-02-2021,11-08-2021,23 litres,63 litres
Au388,Groundnut Oil,Grocery,Freedom,23,8 litres,918,132,1050,22-03-2021,28-07-2021,29 litres,80 litres
Au389,Groundnut Oil,Grocery,Freedom,11,15 litres,501,366,867,27-01-2021,19-07-2021,24 litres,58 litres
Au390,Sunflower Oil,Grocery,Freedom,21,6 litres,900,396,1296,19-03-2021,12-11-2021,28 litres,64 litres
Au391,Groundnut Oil,Grocery,Freedom,19,12 litres,976,389,1365,23-04-2021,17-08-2021,14 litres,72 litres
Au392,Sunflower Oil,Grocery,Freedom,40,13 litres,776,271,1047,04-04-2021,23-07-2021,13 litres,41 litres
Au393,Sunflower Oil,Grocery,Freedom,41,12 litres,651,298,949,02-04-2021,11-10-2021,27 litres,40 litres
Au394,Sunflower Oil,Grocery,Freedom,28,6 litres,940,298,1238,08-01-2021,09-06-2021,29 litres,78 litres
Au395,Sunflower Oil,Grocery,Freedom,47,17 litres,849,275,1124,20-03-2021,03-08-2021,28 litres,79 litres
Au396,Groundnut Oil,Grocery,Freedom,18,17 litres,672,322,994,12-05-2021,30-09-2021,15 litres,79 litres
Au397,Sunflower Oil,Grocery,Freedom,34,5 litres,518,298,816,19-05-2021,26-06-2021,15 litres,77 litres
Au398,Groundnut Oil,Grocery,Freedom,12,16 litres,971,390,1361,13-01-2021,09-07-2021,14 litres,48 litres
Au399,Sunflower Oil,Grocery,Freedom,21,6 litres,558,259,817,17-02-2021,28-07-2021,27 litres,56 litres
Au400,Groundnut Oil,Grocery,Freedom,41,11 litres,737,287,1024,23-05-2021,05-10-2021,20 litres,70 litres
Au401,Mustard Oil,Grocery,Engine,28,20 litres,524,120,644,05-03-2021,01-10-2021,10 litres,41 litres
Au402,Mustard Oil,Grocery,Engine,21,10 litres,989,160,1149,27-01-2021,17-06-2021,28 litres,76 litres
Au403,Mustard Oil,Grocery,Engine,26,15 litres,850,328,1178,31-03-2021,19-06-2021,15 litres,45 litres
Au404,Mustard Oil,Grocery,Engine,45,7 litres,556,193,749,23-02-2021,12-08-2021,12 litres,58 litres
Au405,Mustard Oil,Grocery,Engine,37,11 litres,940,171,1111,26-02-2021,16-06-2021,18 litres,70 litres
Au406,Mustard Oil,Grocery,Engine,47,6 litres,571,276,847,12-03-2021,06-08-2021,21 litres,77 litres
Au407,Mustard Oil,Grocery,Engine,32,20 litres,975,297,1272,17-01-2021,13-07-2021,14 litres,48 litres
Au408,Mustard Oil,Grocery,Engine,15,13 litres,651,299,950,06-05-2021,08-11-2021,28 litres,46 litres
Au409,Mustard Oil,Grocery,Engine,45,18 litres,722,376,1098,09-02-2021,01-06-2021,18 litres,72 litres
Au410,Mustard Oil,Grocery,Engine,12,20 litres,857,363,1220,26-05-2021,06-06-2021,14 litres,64 litres
Au411,Mustard Oil,Grocery,Engine,18,15 litres,666,164,830,08-01-2021,03-08-2021,23 litres,41 litres
Au412,Mustard Oil,Grocery,Engine,26,17 litres,787,348,1135,24-05-2021,27-10-2021,13 litres,54 litres
Au413,Mustard Oil,Grocery,Engine,26,6 litres,843,271,1114,08-03-2021,28-08-2021,19 litres,67 litres
Au414,Mustard Oil,Grocery,Engine,30,7 litres,747,301,1048,06-04-2021,26-08-2021,21 litres,75 litres
Au415,Mustard Oil,Grocery,Engine,17,16 litres,797,309,1106,09-03-2021,13-10-2021,24 litres,49 litres
Au416,Mustard Oil,Grocery,Engine,40,8 litres,907,333,1240,28-01-2021,03-10-2021,17 litres,50 litres
Au417,Mustard Oil,Grocery,Engine,13,19 litres,922,328,1250,02-05-2021,28-08-2021,26 litres,75 litres
Au418,Mustard Oil,Grocery,Engine,25,7 litres,959,270,1229,19-05-2021,30-10-2021,14 litres,45 litres
Au419,Mustard Oil,Grocery,Engine,45,7 litres,813,108,921,19-02-2021,27-10-2021,18 litres,46 litres
Au420,Mustard Oil,Grocery,Engine,16,19 litres,571,110,681,25-04-2021,08-07-2021,24 litres,74 litres
Au421,Mustard Oil,Grocery,Engine,22,11 litres,902,260,1162,30-04-2021,16-08-2021,17 litres,56 litres
Au422,Mustard Oil,Grocery,Engine,39,8 litres,505,268,773,14-03-2021,01-09-2021,18 litres,76 litres
Au423,Mustard Oil,Grocery,Engine,35,8 litres,984,388,1372,22-03-2021,31-08-2021,10 litres,56 litres
Au424,Mustard Oil,Grocery,Engine,30,15 litres,523,237,760,24-05-2021,21-09-2021,24 litres,60 litres
Au425,Mustard Oil,Grocery,Engine,29,17 litres,623,196,819,01-01-2021,28-07-2021,16 litres,56 litres
Au426,Mustard Oil,Grocery,Engine,44,13 litres,533,265,798,28-03-2021,22-09-2021,25 litres,54 litres
Au427,Mustard Oil,Grocery,Engine,48,17 litres,649,236,885,12-04-2021,11-06-2021,21 litres,66 litres
Au428,Mustard Oil,Grocery,Engine,12,6 litres,506,179,685,20-04-2021,18-11-2021,20 litres,73 litres
Au429,Mustard Oil,Grocery,Engine,43,6 litres,575,124,699,11-01-2021,09-11-2021,27 litres,54 litres
Au430,Mustard Oil,Grocery,Engine,30,18 litres,831,116,947,12-02-2021,28-07-2021,27 litres,70 litres
Au431,Mustard Oil,Grocery,Engine,35,11 litres,986,335,1321,25-02-2021,19-06-2021,15 litres,71 litres
Au432,Mustard Oil,Grocery,Engine,44,7 litres,821,359,1180,01-01-2021,05-09-2021,10 litres,75 litres
Au433,Mustard Oil,Grocery,Engine,36,6 litres,664,190,854,08-03-2021,25-06-2021,28 litres,44 litres
Au434,Mustard Oil,Grocery,Engine,38,17 litres,786,238,1024,17-01-2021,11-11-2021,30 litres,52 litres
Au435,Mustard Oil,Grocery,Engine,42,18 litres,844,209,1053,20-05-2021,21-09-2021,26 litres,76 litres
Au436,Mustard Oil,Grocery,Engine,50,12 litres,698,186,884,15-05-2021,12-08-2021,20 litres,60 litres
Au437,Amul Spray,Dairy,Amul,32,18 kg,878,336,1214,02-01-2021,22-08-2021,27 kg,55 kg
Au438,Butter,Dairy,Amul,32,13 kg,743,318,1061,21-04-2021,19-07-2021,27 kg,50 kg
Au439,Amul Spray,Dairy,Amul,17,11 kg,554,186,740,02-05-2021,25-08-2021,30 kg,54 kg
Au440,Butter,Dairy,Amul,37,11 kg,557,387,944,04-03-2021,02-07-2021,27 kg,60 kg
Au441,Butter,Dairy,Amul,37,16 kg,879,380,1259,24-01-2021,11-09-2021,23 kg,59 kg
Au442,Butter,Dairy,Amul,14,6 kg,667,266,933,28-05-2021,14-06-2021,20 kg,53 kg
Au443,Cheese,Dairy,Amul,48,8 kg,832,258,1090,19-04-2021,07-09-2021,20 kg,58 kg
Au444,Cheese,Dairy,Amul,38,9 kg,704,179,883,24-04-2021,26-09-2021,32 kg,55 kg
Au445,Amul Spray,Dairy,Amul,22,18 kg,568,183,751,01-03-2021,17-11-2021,37 kg,55 kg
Au446,Amul Spray,Dairy,Amul,23,14 kg,979,248,1227,27-04-2021,09-06-2021,33 kg,53 kg
Au447,Amul Spray,Dairy,Amul,50,5 kg,771,360,1131,21-02-2021,08-06-2021,26 kg,55 kg
Au448,Butter,Dairy,Amul,32,11 kg,816,184,1000,18-05-2021,09-10-2021,32 kg,51 kg
Au449,Amul Spray,Dairy,Amul,47,16 kg,788,306,1094,12-05-2021,17-08-2021,24 kg,54 kg
Au450,Amul Spray,Dairy,Amul,46,13 kg,728,364,1092,10-01-2021,09-08-2021,26 kg,57 kg
Au451,Butter,Dairy,Amul,36,19 kg,721,139,860,22-05-2021,09-07-2021,32 kg,52 kg
Au452,Amul Spray,Dairy,Amul,10,20 kg,787,151,938,21-01-2021,27-06-2021,34 kg,54 kg
Au453,Butter,Dairy,Amul,36,19 kg,667,326,993,23-04-2021,07-07-2021,30 kg,56 kg
Au454,Cheese,Dairy,Amul,45,20 kg,744,111,855,19-03-2021,13-06-2021,29 kg,50 kg
Au455,Butter,Dairy,Amul,25,19 kg,745,120,865,15-05-2021,16-08-2021,22 kg,53 kg
Au456,Butter,Dairy,Amul,26,9 kg,538,107,645,08-03-2021,09-06-2021,34 kg,52 kg
Au457,Cheese,Dairy,Amul,35,5 kg,698,189,887,28-01-2021,26-08-2021,35 kg,55 kg
